Year,Rank,Title,Author,Review,Description,Price,Tags,Ratings,Genre,barcode,publisher,date
2017,41,레버리지,롭 무어,139,자본주의 속에 숨겨진 부의 비밀,"13,500",부자되는법 부의공식,8.3,"['국내도서', '경제/경영', '재테크/금융', '재테크', '부자되는법']",9791130612249,다산북스,2017년 05월 08일 출간
2017,42,완벽하지 않은 것들에 대한 사랑,혜민,540,온전한 나를 위한 혜민 스님의 따뜻한 응원,"13,320",위로 가족 용기 관계 사랑 스님 ,9.5,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9791195322183,수오서재,2016년 02월 03일 출간
2017,43,"명견만리: 윤리, 기술, 중국, 교육 편",KBS <명견만리>,211,우리가 준비해야 할 미래의 기회를 말하다,"14,220",플랫폼 경제전망 경제학 머니 김영란 미래예측 ,9.6,"['국내도서', '경제/경영', '경제일반', '경제학일반']",9791186560204,인플루엔셜,2016년 09월 21일 출간
2017,44,너의 안부를 묻는 밤,지민석,39,,"11,700",감성 에세이 상처 인스타그램 SNS에세이 아포리즘 페이스북 ,9.3,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9791187798026,시드앤피드,2017년 01월 24일 출간
2017,45,어쩌면 내가 가장 듣고 싶었던 말,정희재,155,"괜찮은 척, 아무렇지 않은 척했던 순간에도","12,600",한국에세이 감성에세이 위로,9.3,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9788901214801,갤리온,2017년 02월 03일 출간
2017,46,코스모스(보급판),칼 세이건,1019,,"16,650",우주 데모크리토스 타이슨 교양과학 케플러 과학자 ,9.2,"['국내도서', '과학', '천문학', '교양천문학']",9788983711892,사이언스북스,2010년 01월 20일 출간(1쇄 2006년 12월 20일)
2017,47,설민석의 한국사 대모험. 1,설민석,585,특명! 온달을 역사 천재로 만들어라!,"8,820",아동학습만화 온달 평강 역사만화 세종 대왕 아동한국사 ,9.6,"['국내도서', '어린이(초등)', '어린이만화', '학습만화', '한국사/인물/문화/지리']",9791195794799,아이휴먼,2017년 01월 23일 출간
2017,48,나에게 고맙다,전승환,275,"가장 흔한 말, 정작 나에게 하지 못한 인사","12,420",위로 감성에세이 괜찮아 공감 오늘 눈치 ,9.3,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9788968330889,허밍버드,2016년 07월 01일 출간(1쇄 2016년 06월 22일)
2017,49,1시간에 1권 퀀텀 독서법,김병완,212,하루에 30분 3주면 된다!,"13,500",책읽기 리딩 스킬 파워 훈련 독서 수준 리버스 ,8.4,"['국내도서', '자기계발', '자기능력계발', '독서/글쓰기']",9788935211609,청림출판,2017년 03월 31일 출간
2017,50,"9등급 꼴찌, 1년 만에 통역사 된 비법(특별증보판)",장동완,36,100일만에 영어면접 통과하게 만드는 미 국방부 기적의 어학훈련,"13,500",공부법 프랑스어 웹툰 일본어 훈련법 북한이탈주민 ,8.9,"['국내도서', '자기계발', '성공/처세', '성공스토리']",9788901219080,리더스북,2017년 10월 23일 출간
2017,51,브루클린의 소녀,기욤 뮈소,221,기욤 뮈소 장편소설,"13,050",소설 스릴러소설 스릴러 베스트셀러 사랑 사건 ,9.5,"['국내도서', '소설', '프랑스소설', '프랑스소설일반']",9788984373068,밝은세상,2016년 12월 06일 출간
2017,52,새는 날아가면서 뒤돌아보지 않는다,류시화,215,,"12,600",시인 산문집 찻잔 한국현대수필 신작 속살 ,9.5,"['국내도서', '시/에세이', '나라별 에세이', '한국에세이']",9791186900222,더숲,2017년 02월 25일 출간
2017,53,너의 췌장을 먹고 싶어(노블판),스미노 요루,216,,"12,420",베스트셀러 영화원작소설 동급생 공병 청춘 소설 일본 문단 ,9.5,"['국내도서', '소설', '일본소설', '드라마/영화소설']",9791157108718,소미미디어,2017년 04월 01일 출간
2017,54,노르웨이의 숲(양장본 HardCover),무라카미 하루키,351,,"13,500",일본소설 죽음 문학 소설 사랑 비틀스 ,9.1,"['국내도서', '소설', '일본소설', '일본소설일반']",9788937434488,민음사,2017년 08월 07일 출간
2017,55,혼자 잘해주고 상처받지 마라,유은정,173,서운하고 속상한 마음을 들키지않으려고 애쓰는 당신을 위한 감정의 심리학,"13,500",인간관계 자존감 심리치료 인생 이별 스완 ,9.3,"['국내도서', '자기계발', '인간관계', '인간관계일반']",9788950967291,21세기북스,2016년 10월 27일 출간
2017,56,꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주,889,나태주 시집,"9,000",방탄소년단 풀꽃 한국현대시 예쁘다 보컬 국민 ,9.3,"['국내도서', '시/에세이', '한국시', '현대시']",9791157280292,지혜,2020년 11월 30일 출간(1쇄 2015년 06월 20일)
2017,57,해커스 신토익 리스닝(Hackers TOEIC Listening),David Cho,87,받아쓰기&쉐도잉 프로그램ㅣ단어암기장(별책) 제공,"16,920",영어학습 영어공부 동사 의문문 ,9.2,"['국내도서', '외국어', '수험영어', '토익(Toeic)', 'L/C']",9788965421726,해커스어학연구소,2016년 03월 21일 출간
2017,58,"명견만리: 인구, 경제, 북한, 의료 편",KBS <명견만리,225,향후 인류에게 가장 중요한 것들을 말하다,"14,220",경제전망 기술 발전 은퇴 경제학 일자리 성석제 ,9.5,"['국내도서', '경제/경영', '경제일반', '경제학일반']",9791186560167,인플루엔셜,2016년 06월 07일 출간
2017,59,타이탄의 도구들(리커버 에디션),팀 페리스,525,,"13,500",자기관리 코엘료 파울로 성공법 말콤 아이디어 ,9.3,"['국내도서', '자기계발', '성공/처세', '자기관리/처세']",9791158510619,토네이도,2020년 03월 09일 출간(1쇄 2017년 04월 03일)
2017,60,바깥은 여름,김애란,521,김애란 소설,"11,700",소설집 타인 입동 단편소설 동인문학상 시차 ,9.3,"['국내도서', '소설', '한국소설', '한국소설일반']",9788954646079,문학동네,2017년 06월 28일 출간
2017,61,스물아홉 생일 1년 후 죽기로 결심했다,하야마 아마리,364,제1회 일본감동대상 대상 수상작,"11,520",자전적에세이 시한부 라스베이거스 선고 치열 외톨이 ,9.2,"['국내도서', '시/에세이', '나라별 에세이', '일본에세이']",9788959136896,위즈덤하우스,2012년 07월 20일 출간
2017,62,모든 관계는 말투에서 시작된다(10만 부 기념 스페셜 에디션),김범준,149,기분 좋은 사람으로 기억되는 사소한 습관,"11,520",대화법 메라 화술 친절한 호감 커뮤니케이션 ,8.5,"['국내도서', '자기계발', '화술/협상', '대화/화술']",9788960863859,위즈덤하우스,2018년 11월 01일 출간(1쇄 2017년 06월 19일)
2017,63,해커스 토익 스타트 리딩(Hackers TOEIC Start Reading)(신토익 Edition)(3판),David Cho,257,본 교재 무료 동영상강의 + 온라인 신토익 모의고사,"13,410",영어학습 영어공부,9.4,"['국내도서', '외국어', '수험영어', '토익(Toeic)', 'R/C']",9788965421689,해커스어학연구소,2019년 01월 16일 출간(1쇄 2016년 03월 15일)
2017,64,설민석의 무도 한국사 특강(개정판),설민석,189,인물 사건 문화유산,"19,800",단군왕검 역사인물 이성계 한국역사 안중근 세종 ,9.6,"['국내도서', '역사/문화', '한국사', '한국통사']",9791196025892,휴먼큐브,2019년 01월 29일 출간
